district,Avg price,rainfall,month,year
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1950,0.0,1,1
1,1950,0.0,1,1
1,1950,0.0,1,1
1,1950,0.0,1,1
1,1950,0.0,1,1
1,1950,0.0,1,1
1,1950,0.0,1,1
1,1900,0.0,1,1
1,1850,0.0,1,1
1,1850,0.0,1,1
1,1800,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1900,0.0,1,1
1,1700,0.0,1,1
1,1700,0.0,1,1
1,1700,0.0,1,1
1,1700,0.1,2,1
1,1700,0.1,2,1
1,1700,0.1,2,1
1,1700,0.1,2,1
1,1700,0.1,2,1
1,1700,0.1,2,1
1,1700,0.1,2,1
1,1700,0.1,2,1
1,1700,0.1,2,1
1,1800,0.1,2,1
1,1800,0.1,2,1
1,1800,0.1,2,1
1,1600,0.1,2,1
1,1600,0.1,2,1
1,1600,0.1,2,1
1,1900,0.1,2,1
1,1900,0.1,2,1
1,1900,0.1,2,1
1,1900,0.1,2,1
1,1900,0.1,2,1
1,1900,0.1,2,1
1,1900,0.1,2,1
1,1900,0.1,2,1
1,2150,0.1,2,1
1,1875,12.9,3,1
1,1875,12.9,3,1
1,1875,12.9,3,1
1,2000,12.9,3,1
1,2000,12.9,3,1
1,2000,12.9,3,1
1,2000,12.9,3,1
1,1900,12.9,3,1
1,2100,12.9,3,1
1,2100,12.9,3,1
1,2100,12.9,3,1
1,2100,12.9,3,1
1,2100,12.9,3,1
1,2100,12.9,3,1
1,1900,12.9,3,1
1,1900,12.9,3,1
1,1900,12.9,3,1
1,1900,12.9,3,1
1,1900,12.9,3,1
1,1850,12.9,3,1
1,1850,12.9,3,1
1,1850,12.9,3,1
1,2000,12.9,3,1
1,2000,12.9,3,1
1,1850,12.9,3,1
1,2000,7.2,4,1
1,1850,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,1900,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,2100,7.2,4,1
1,2000,7.2,4,1
1,2000,7.2,4,1
1,2000,7.2,4,1
1,2000,7.2,4,1
1,1800,7.2,4,1
1,2000,7.2,4,1
1,1900,7.2,4,1
1,2000,7.2,4,1
1,2000,7.2,4,1
1,2000,7.2,4,1
1,2000,83.2,5,1
1,2000,83.2,5,1
1,2100,83.2,5,1
1,2100,83.2,5,1
1,1800,83.2,5,1
1,1800,83.2,5,1
1,1800,83.2,5,1
1,1975,83.2,5,1
1,1975,83.2,5,1
1,1975,83.2,5,1
1,1975,83.2,5,1
1,1975,83.2,5,1
1,2300,83.2,5,1
1,2300,83.2,5,1
1,2300,83.2,5,1
1,2300,83.2,5,1
1,2300,83.2,5,1
1,2300,83.2,5,1
1,1800,83.2,5,1
1,1800,83.2,5,1
1,1800,83.2,5,1
1,1800,83.2,5,1
1,1800,83.2,5,1
1,1800,83.2,5,1
1,1800,93.7,6,1
1,1800,93.7,6,1
1,1800,93.7,6,1
1,1800,93.7,6,1
1,1800,93.7,6,1
1,1800,93.7,6,1
1,2100,93.7,6,1
1,2100,93.7,6,1
1,2100,93.7,6,1
1,2100,93.7,6,1
1,2125,93.7,6,1
1,2125,93.7,6,1
1,2125,93.7,6,1
1,2125,93.7,6,1
1,2125,93.7,6,1
1,2125,93.7,6,1
1,2125,93.7,6,1
1,2125,93.7,6,1
1,2125,93.7,6,1
1,2200,93.7,6,1
1,2200,93.7,6,1
1,2200,93.7,6,1
1,2200,80.6,7,1
1,2200,80.6,7,1
1,2200,80.6,7,1
1,2200,80.6,7,1
1,2200,80.6,7,1
1,2200,80.6,7,1
1,2200,80.6,7,1
1,2200,80.6,7,1
1,2100,80.6,7,1
1,2100,80.6,7,1
1,2100,80.6,7,1
1,2000,80.6,7,1
1,2000,80.6,7,1
1,2000,80.6,7,1
1,2050,80.6,7,1
1,2050,80.6,7,1
1,2050,80.6,7,1
1,2050,80.6,7,1
1,2050,80.6,7,1
1,2050,80.6,7,1
1,2150,80.6,7,1
1,2150,80.6,7,1
1,2150,80.6,7,1
1,2150,80.6,7,1
1,2150,80.6,7,1
1,2150,118.1,8,1
1,2150,118.1,8,1
1,2150,118.1,8,1
1,2150,118.1,8,1
1,2200,118.1,8,1
1,2200,118.1,8,1
1,2200,118.1,8,1
1,2250,118.1,8,1
1,2250,118.1,8,1
1,2250,118.1,8,1
1,2250,118.1,8,1
1,2250,118.1,8,1
1,2250,118.1,8,1
1,2250,118.1,8,1
1,2250,118.1,8,1
1,2250,118.1,8,1
1,2200,118.1,8,1
1,2200,118.1,8,1
1,2200,118.1,8,1
1,2200,181.8,9,1
1,2150,181.8,9,1
1,2150,181.8,9,1
1,2150,181.8,9,1
1,2150,181.8,9,1
1,2150,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,181.8,9,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2350,247.3,10,1
1,2350,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2250,247.3,10,1
1,2650,247.3,10,1
1,2250,27.8,11,1
1,2250,27.8,11,1
1,2200,27.8,11,1
1,2200,27.8,11,1
1,2200,27.8,11,1
1,2200,27.8,11,1
1,2200,27.8,11,1
1,2200,27.8,11,1
1,2200,27.8,11,1
1,2200,27.8,11,1
1,2250,27.8,11,1
1,2250,27.8,11,1
1,2250,27.8,11,1
1,1650,27.8,11,1
1,1900,0.1,2,1
1,1600,83.2,5,1
1,1700,83.2,5,1
1,1700,83.2,5,1
1,1450,83.2,5,1
1,1450,93.7,6,1
1,1450,93.7,6,1
1,1450,93.7,6,1
1,1450,93.7,6,1
1,1450,93.7,6,1
1,1450,93.7,6,1
1,1600,93.7,6,1
1,1850,93.7,6,1
1,1500,93.7,6,1
1,1500,0.1,2,1
1,1500,12.9,3,1
1,1500,83.2,5,1
1,1500,93.7,6,1
1,1600,93.7,6,1
1,1500,80.6,7,1
1,1500,80.6,7,1
1,1550,118.1,8,1
1,1550,181.8,9,1
1,1600,247.3,10,1
1,1500,247.3,10,1
1,1700,247.3,10,1
1,1890,0.0,1,1
1,1666,0.0,1,1
1,1000,0.1,2,1
1,1600,0.1,2,1
1,1800,0.1,2,1
1,1568,12.9,3,1
1,1600,7.2,4,1
1,1600,83.2,5,1
1,1600,83.2,5,1
1,1500,80.6,7,1
1,1800,80.6,7,1
1,1800,80.6,7,1
1,1780,181.8,9,1
1,1900,181.8,9,1
1,1800,181.8,9,1
1,1700,247.3,10,1
1,1830,27.8,11,1
2,2180,42.2,11,1
3,1553,23.9,4,1
3,1630,6.0,2,1
3,1200,91.7,9,1
3,1075,6.0,2,1
3,1219,0.0,1,1
3,1209,0.0,1,1
3,1202,0.0,1,1
3,1722,6.0,2,1
4,1189,102.2,9,1
4,1600,1.9,2,1
4,1800,22.5,3,1
4,1500,42.2,4,1
4,1500,128.9,5,1
4,1500,45.5,7,1
4,1300,45.5,7,1
4,1300,45.5,7,1
4,1300,122.9,8,1
4,1500,122.9,8,1
4,1500,102.2,9,1
4,1300,102.2,9,1
